id,name,address,district,province
77,TTC Imperial Hotel,"8 Hung Vuong Street, Thuan Hoa Ward, Hue City, Vietnam",Thành Phố Huế,Huế
123,Indochine Palace Hotel,"105A Hung Vuong Street, Thuan Hoa Ward, Hue City, Hue, Vietnam, 52000",Thành Phố Huế,Huế
143,Khách Sạn Century Riverside Huế,"49, Lê Lợi, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
242,Moonlight Hotel Hue,20 Pham Ngu Lao Street,Thành Phố Huế,Huế
331,Eldora Hotel,60 Ben Nghe Street,Thành Phố Huế,Huế
382,Angsana Lang Co,"Cu Du Village, Loc Vinh Commune, Phu Loc District",Huyện Phú Lộc,Huế
416,Khách Sạn Romance ,"16, Nguyễn Thái Học, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
432,Khách Sạn Gold Huế,"28, Bà Triệu, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
446,Saigon Morin Hotel,30 Le Loi St. ,Thành Phố Huế,Huế
447,Mondial Hotel Hue,17 Nguyen Hue Street,Thành Phố Huế,Huế
462,Thanh Lich Royal Boutique Hotel,"33 Hai Ba Trung Street, Thuan Hoa Ward, Hue City",Thành Phố Huế,Huế
654,Khách Sạn Midtown Huế,"29, Đội Cung, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
662,Alba Spa Hotel,29 Tran Quang Khai Street,Thành Phố Huế,Huế
707,Hương Giang Resort & Spa,"51, Lê Lợi, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
959,Asia Hotel,17 Pham Ngu Lao Street ,Thành Phố Huế,Huế
1018,Park View Hotel,09 Ngo Quyen Street,Thành Phố Huế,Huế
1087,Cherish Hue Hotel,57 Ben Nghe st.,Thành Phố Huế,Huế
1106,Hue Riverside Boutique Resort & Spa,588 Bùi Thị Xuân,Thành Phố Huế,Huế
1260,Lapochine Beach Resort (Formerly Ana Mandara Hue),"An Hai Village, Thuan An Town",Huyện Phú Vang,Huế
1262,Muong Thanh Holiday Hue Hotel,"38 Le Loi Street, Hue city, Viet Nam",Thành Phố Huế,Huế
1338,Vedana Lagoon Wellness Resort & Spa,"41/23 Doan Trong Truyen Street, Phu Loc Town",Huyện Phú Lộc,Huế
1506,"Kobi Onsen Resort Hue, Affiliated by Melia","My An Hamlet, Phu Duong Commune, Phu Duong, Hue City, Thue Thien Hue Province, Viet Nam",Huyện Phú Vang,Huế
1878,Azerai La Residence Huế,"Số 5, Lê Lợi, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
2984,Villa Hue,04 Tran Quang Khai Street,Thành Phố Huế,Huế
5696,Silk Path Grand Hue Hotel,02 Lê Lợi,Thành Phố Huế,Huế
7915,Banyan Tree Lang Co,"Cu Du Village, Loc Vinh Commune, Phu Loc District",Huyện Phú Lộc,Huế
9703,Pilgrimage Village Resort & Spa,"130, Minh Mạng, Thành Phố Huế, Huế, Việt Nam",Thành Phố Huế,Huế
22077,Hue Ecolodge,2 Lương Qu n,Thành Phố Huế,Huế
23373,Bavico Tam Giang Resort & Spa,"02 Nguyễn Lữ Bãi Biển Thuận An, Huyện Phú Vang, Thừa Thiên - Huế",Huyện Phú Vang,Huế
23411,Khách Sạn Emm Huế,"15, Lý Thường Kiệt, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
41179,SMLXL,"18 Thai Phien, Đại Nội Huế, Huế, Việt Nam, 530000",Thành Phố Huế,Huế
41188,Laguna Parkside Residences Lang Co,"Cu Du Village, Loc Vinh Commune, Phu Loc District",Huyện Phú Lộc,Huế
41200,Sankofa Village Hill Resort and Spa,8 Ngọc Hồ,Thị Xã Hương Trà,Huế
41309,Coco Homestay Hue,"Thành phố Huế, Huế, Việt Nam",Thành Phố Huế,Huế
41318,Pilgrimage Wellness Retreat,"Số 130 Minh Mạng, Thành Phố Huế, Thừa Thiên - Huế",Thành Phố Huế,Huế
45589,Melia Vinpearl Hue,50A Hung Vuong street,Thành Phố Huế,Huế
45784,Alba Wellness Resort Huế,"Đường, Phong Sơn, Huyện Phong Điền, Thừa Thiên Huế, Việt Nam",Huyện Phong Điền,Huế
46102,Khách sạn Senna Huế,"7, Nguyễn Tri Phương, Thành Phố Huế, Thừa Thiên Huế, Việt Nam",Thành Phố Huế,Huế
46507,White Lotus Hue Hotel,"05-07 Hoang Hoa Tham str., Hue city",Thành Phố Huế,Huế
46572,Ancient Hue Garden Houses,"104/47 Kim Long Street, Kim Long Ward. Hue City ",Thành Phố Huế,Huế
